X  [mm],Y  [mm],Z  [mm],U(95)  [mm],U(95) X  [mm],U(95) Y  [mm],U(95) Z  [mm],Tilt  [deg],Q0 ,Q1 ,Q2 ,Q3 ,Image RMS  [µm],Target,Temperature  [°C],Pressure  [mBar],Humidity  [%],Time Stamp,OTG Applied,Delete
-164.666,-3626.754,-27.192,0.003,0.002,0,0.002,27.6606,0.855027,-0.515597,0.038085,-0.040468,0.17,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:17:28.353,FALSE,
-164.416,-3630.288,-23.656,0.007,0.006,0,0.003,27.7192,0.855051,-0.515569,0.038192,-0.040222,0.29,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:17:34.033,FALSE,
-164.061,-3633.825,-20.074,0.003,0.002,0,0.002,27.7769,0.855055,-0.515565,0.038198,-0.040194,0.24,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:17:39.773,FALSE,
-163.65,-3637.357,-16.503,0.003,0.002,0,0.003,27.8327,0.855051,-0.515573,0.03818,-0.040172,0.17,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:17:45.533,FALSE,
-163.159,-3640.879,-12.934,0.008,0.005,0,0.006,27.8891,0.855051,-0.515577,0.038166,-0.040142,0.21,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:17:51.833,FALSE,
-162.61,-3644.386,-9.362,0.002,0.001,0,0.002,27.9459,0.855047,-0.515583,0.038134,-0.04018,0.18,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:17:56.933,FALSE,
-161.992,-3647.89,-5.782,0.005,0.003,0,0.004,28.0043,0.85505,-0.515577,0.038098,-0.04022,0.23,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:18:02.653,FALSE,
-161.306,-3651.384,-2.206,0.003,0.002,0,0.002,28.0629,0.855056,-0.515569,0.038066,-0.040239,0.16,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:18:08.393,FALSE,
-160.561,-3654.863,1.375,0.002,0.001,0,0.002,28.1202,0.855057,-0.515569,0.038055,-0.040218,0.14,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:18:14.114,FALSE,
-159.753,-3658.336,4.929,0.002,0.001,0,0.002,28.1795,0.855066,-0.515555,0.038002,-0.040267,0.14,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:18:19.853,FALSE,
-158.899,-3661.805,8.477,0.004,0.002,0,0.004,28.2381,0.855075,-0.515542,0.037967,-0.040271,0.16,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:18:25.573,FALSE,
-157.978,-3665.268,12.027,0.005,0.003,0,0.004,28.2956,0.855077,-0.51554,0.037937,-0.040291,0.12,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:18:31.314,FALSE,
-156.991,-3668.72,15.556,0.006,0.004,0,0.004,28.3536,0.855083,-0.515531,0.037895,-0.040309,0.19,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:18:37.073,FALSE,
-155.945,-3672.154,19.086,0.002,0.001,0,0.001,28.4104,0.855081,-0.515533,0.037891,-0.040323,0.3,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:18:42.793,FALSE,
-154.83,-3675.582,22.599,0.002,0.001,0,0.001,28.4662,0.855078,-0.51554,0.037849,-0.04034,0.16,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:18:48.714,FALSE,
-153.666,-3679.003,26.095,0.003,0.002,0.001,0.002,28.5194,0.855065,-0.515563,0.037866,-0.040311,0.25,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:18:54.293,FALSE,
-152.442,-3682.41,29.601,0.005,0.005,0,0.001,28.5759,0.855066,-0.515564,0.037878,-0.040281,0.2,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:19:00.033,FALSE,
-151.14,-3685.794,33.09,0.005,0.004,0.001,0.001,28.6307,0.855057,-0.515577,0.03789,-0.040285,0.3,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:19:05.773,FALSE,
-149.785,-3689.166,36.59,0.002,0.001,0,0.001,28.6869,0.855056,-0.515579,0.037905,-0.040248,0.24,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:19:11.514,FALSE,
-148.372,-3692.525,40.068,0.004,0.002,0,0.003,28.7425,0.855054,-0.515584,0.037949,-0.040205,0.18,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:19:17.273,FALSE,
-146.892,-3695.863,43.519,0.003,0.001,0,0.003,28.7991,0.855057,-0.515579,0.037959,-0.040189,0.28,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:19:23.013,FALSE,
-145.348,-3699.184,46.967,0.003,0.002,0.001,0.002,28.8555,0.855057,-0.515578,0.037977,-0.04019,0.19,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:19:28.773,FALSE,
-143.748,-3702.493,50.387,0.002,0.002,0,0.002,28.9104,0.855056,-0.515581,0.037989,-0.040147,0.25,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:19:34.514,FALSE,
-142.079,-3705.788,53.809,0.003,0.002,0,0.002,28.9649,0.855046,-0.515594,0.037989,-0.040191,0.2,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:19:40.273,FALSE,
-140.357,-3709.07,57.239,0.003,0.002,0,0.002,29.022,0.855051,-0.515586,0.037982,-0.0402,0.26,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:19:46.013,FALSE,
-138.58,-3712.338,60.658,0.002,0.001,0,0.002,29.079,0.855051,-0.515582,0.037965,-0.040268,0.25,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:19:51.773,FALSE,
