X  [mm],Y  [mm],Z  [mm],U(95)  [mm],U(95) X  [mm],U(95) Y  [mm],U(95) Z  [mm],Tilt  [deg],Q0 ,Q1 ,Q2 ,Q3 ,Image RMS  [µm],Target,Temperature  [°C],Pressure  [mBar],Humidity  [%],Time Stamp,OTG Applied,Delete
754,-3193.366,303.745,0.004,0.003,0.001,0.003,29.9385,0.227782,-0.114534,0.572354,0.779364,0.22,TMC 30-B #5320,22.8,1018,32,'11.10.2022 15:06:48.043,FALSE,
835.44,-3148.711,256.682,0.01,0.008,0.002,0.005,32.2784,0.37518,-0.170711,0.654721,0.633591,0.35,TMC 30-B #5320,22.8,1018,32,'11.10.2022 15:06:55.562,FALSE,
394.456,-3200.746,-664.155,0.01,0.006,0.002,0.008,40.0059,0.388994,-0.204948,-0.801604,-0.405106,0.35,TMC 30-B #5320,22.8,1018,32,'11.10.2022 15:07:07.502,FALSE,
352.599,-3209.273,-259.329,0.007,0.004,0.001,0.005,37.3509,-0.307777,0.754816,-0.315148,-0.486013,0.38,TMC 30-B #5320,22.8,1018,32,'11.10.2022 15:07:17.942,FALSE,
404.02,-3209.485,-343.711,0.015,0.01,0.002,0.011,44.483,0.455656,-0.774181,-0.058611,0.435415,0.45,TMC 30-B #5320,22.8,1018,32,'11.10.2022 15:07:25.202,FALSE,
611.667,-3329.852,-621.431,0.014,0.011,0.003,0.008,27.9822,-0.143513,0.03672,0.805722,0.57347,0.47,TMC 30-B #5320,22.8,1018,32,'11.10.2022 15:07:34.742,FALSE,
506.192,-3437.234,-427.611,0.014,0.012,0.002,0.006,21.1701,-0.274825,0.550202,-0.537294,-0.577117,0.26,TMC 30-B #5320,22.8,1018,32,'11.10.2022 15:07:44.122,FALSE,
547.586,-3333.315,-448.397,0.01,0.008,0.002,0.006,29.8131,0.407096,-0.68454,0.203668,0.569384,0.27,TMC 30-B #5320,22.8,1018,32,'11.10.2022 15:07:52.062,FALSE,
681.114,-3310.042,-242.49,0.016,0.01,0.002,0.012,10.0068,-0.265317,-0.006368,0.673843,0.689566,0.3,TMC 30-B #5320,22.8,1018,32,'11.10.2022 15:08:01.542,FALSE,
479.833,-3408.233,-227.697,0.006,0.005,0.001,0.004,43.6467,0.383104,0.127216,-0.779954,-0.478246,0.41,TMC 30-B #5320,22.8,1018,32,'11.10.2022 15:08:09.762,FALSE,
1312.881,-3155.345,221.587,0.006,0.003,0.001,0.005,36.0187,0.326747,-0.568754,-0.57167,-0.492897,0.29,TMC 30-B #5320,22.8,1018,32,'11.10.2022 15:08:20.222,FALSE,
605.023,-3074.618,-34.558,0.012,0.011,0.002,0.006,21.4503,-0.21873,0.418002,-0.707733,-0.525876,0.57,TMC 30-B #5320,22.8,1018,32,'11.10.2022 15:08:30.002,FALSE,
951.457,-3172.124,-9.06,0.02,0.009,0.003,0.017,34.9542,-0.307335,0.5661,0.557927,0.523253,0.28,TMC 30-B #5320,22.8,1018,31,'11.10.2022 15:08:38.962,FALSE,
1211.297,-3282.365,213.585,0.007,0.004,0.002,0.006,22.2048,0.344808,-0.436458,-0.68635,-0.468546,0.44,TMC 30-B #5320,22.8,1018,31,'11.10.2022 15:08:48.022,FALSE,
978.642,-3196.983,-694.59,0.013,0.01,0.003,0.008,33.4279,0.567204,-0.788018,-0.218285,-0.098284,0.3,TMC 30-B #5320,22.8,1018,31,'11.10.2022 15:08:59.722,FALSE,
1122.308,-3465.1,168.16,0.011,0.008,0.003,0.007,24.2518,0.569589,-0.752247,-0.267326,0.195524,0.35,TMC 30-B #5320,22.8,1018,31,'11.10.2022 15:09:11.822,FALSE,
1518.138,-3566.498,278.412,0.011,0.004,0.002,0.01,40.5803,-0.055582,0.289696,0.704069,0.645968,0.25,TMC 30-B #5320,22.8,1018,31,'11.10.2022 15:09:20.262,FALSE,
1163.662,-3185.834,61.148,0.023,0.012,0.004,0.019,20.5712,0.007842,-0.208534,0.795623,0.568714,0.53,TMC 30-B #5320,22.8,1018,31,'11.10.2022 15:09:29.482,FALSE,
1489.17,-3514.46,196.423,0.02,0.013,0.006,0.014,34.3188,-0.176895,0.349499,0.748826,0.53462,0.49,TMC 30-B #5320,22.8,1018,31,'11.10.2022 15:09:38.582,FALSE,
1107.169,-3376.278,-137.971,0.01,0.007,0.002,0.006,23.5947,0.419876,-0.526947,-0.597061,-0.435372,0.34,TMC 30-B #5320,22.8,1018,31,'11.10.2022 15:09:47.722,FALSE,
731.337,-3266.434,-333.976,0.012,0.009,0.002,0.007,26.3973,0.652181,-0.683449,-0.287408,0.157969,0.34,TMC 30-B #5320,22.8,1018,31,'11.10.2022 15:09:57.322,FALSE,
1416.57,-3311.841,-17.572,0.011,0.007,0.006,0.004,23.9844,0.579117,-0.674073,-0.354488,-0.290841,0.21,TMC 30-B #5320,22.8,1018,31,'11.10.2022 15:10:07.102,FALSE,
685.781,-2867.175,-674.312,0.004,0.002,0.001,0.003,40.2748,0.553177,-0.464185,-0.67009,-0.171776,0.3,TMC 30-B #5320,22.8,1018,31,'11.10.2022 15:10:18.962,FALSE,
833.249,-3002.258,-522.075,0.004,0.003,0.001,0.002,21.5056,0.690948,-0.610022,-0.38775,0.010648,0.56,TMC 30-B #5320,22.8,1018,31,'11.10.2022 15:10:27.982,FALSE,
653.836,-2904.564,-467.61,0.014,0.01,0.003,0.01,8.7677,0.73767,-0.649899,-0.138569,0.119467,0.23,TMC 30-B #5320,22.8,1018,31,'11.10.2022 15:10:35.902,FALSE,
605.668,-3180.343,516.825,0.005,0.004,0.001,0.004,32.0922,-0.284858,0.094781,0.543993,0.783546,0.22,TMC 30-B #5320,22.8,1018,31,'11.10.2022 15:10:48.062,FALSE,
206.619,-3308.802,-157.223,0.007,0.005,0,0.005,34.0112,0.267539,0.027176,0.777119,0.569008,0.24,TMC 30-B #5320,22.8,1018,31,'11.10.2022 15:10:57.682,FALSE,
108.778,-3225.409,-169.647,0.02,0.011,0.001,0.016,28.1272,0.532614,-0.742419,0.374103,0.158692,0.22,TMC 30-B #5320,22.8,1018,31,'11.10.2022 15:11:05.702,FALSE,
44.508,-3039.982,-337.779,0.007,0.006,0.001,0.003,35.0805,0.518731,-0.84926,-0.081495,0.055078,0.25,TMC 30-B #5320,22.8,1018,31,'11.10.2022 15:11:15.422,FALSE,
-85.884,-3231.276,-527.493,0.006,0.006,0.001,0.003,15.6145,0.676977,-0.727282,-0.107671,-0.034206,0.29,TMC 30-B #5320,22.8,1018,31,'11.10.2022 15:11:23.643,FALSE,
1811.85,-3530.364,-14.64,0.016,0.014,0.007,0.004,27.8818,0.221203,-0.24903,0.486699,0.807575,0.2,TMC 30-B #5320,22.8,1018,31,'11.10.2022 15:11:37.262,FALSE,
