X  [mm],Y  [mm],Z  [mm],U(95)  [mm],U(95) X  [mm],U(95) Y  [mm],U(95) Z  [mm],Tilt  [deg],Q0 ,Q1 ,Q2 ,Q3 ,Image RMS  [µm],Target,Temperature  [°C],Pressure  [mBar],Humidity  [%],Time Stamp,OTG Applied,Delete
-29.765,-3286.849,147.112,0.002,0.001,0,0.001,12.128,-0.247132,0.28439,0.736445,0.561869,0.23,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:57:12.092,FALSE,
-16.94,-3260.615,-173.192,0.003,0.003,0,0.001,39.555,-0.270354,0.408804,0.789517,0.369392,0.23,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:57:20.232,FALSE,
-137.653,-3234.596,46.36,0.003,0.003,0,0.001,24.5887,0.409347,-0.380618,-0.711753,-0.425408,0.19,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:57:27.452,FALSE,
153.902,-3210.008,90.564,0.002,0.002,0,0.002,10.3546,0.408685,-0.512734,-0.526682,-0.541004,0.18,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:57:35.152,FALSE,
-75.95,-3219.17,-98.125,0.003,0.002,0,0.002,16.0168,0.446376,-0.543822,-0.568524,-0.426365,0.21,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:57:42.732,FALSE,
-163.339,-3290.755,-161.618,0.004,0.003,0,0.002,28.8559,0.428871,-0.557436,-0.622598,-0.343085,0.21,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:57:49.552,FALSE,
29.882,-3346.472,-320.647,0.003,0.002,0,0.002,32.6462,-0.183312,0.224184,0.821711,0.490845,0.23,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:57:57.112,FALSE,
197.815,-3265.218,-170.606,0.003,0.003,0,0.001,12.4683,-0.206275,0.279242,0.696353,0.628146,0.19,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:58:04.412,FALSE,
237.371,-3244.162,-127.845,0.003,0.002,0,0.002,11.494,-0.157693,0.208262,0.720707,0.642138,0.2,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:58:10.912,FALSE,
206.74,-3210.674,-48.294,0.003,0.003,0,0.001,19.4293,0.043836,0.074295,0.781731,0.61762,0.13,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:58:17.812,FALSE,
149.701,-3314.631,-285.427,0.004,0.003,0,0.003,37.7417,0.049188,-0.015015,0.874895,0.481574,0.12,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:58:25.612,FALSE,
129.023,-3246.956,-31.807,0.003,0.003,0,0.002,7.3214,0.040092,-0.035418,0.742973,0.66718,0.16,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:58:32.832,FALSE,
130.488,-3253.633,52.357,0.004,0.002,0,0.003,14.0442,-0.05935,0.015025,0.621739,0.780828,0.17,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:58:39.672,FALSE,
376.704,-3374.46,-116.677,0.003,0.002,0,0.002,14.4468,0.042685,0.048394,0.720188,0.690772,0.16,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:58:47.653,FALSE,
-220.851,-3336.46,-236.631,0.005,0.004,0,0.003,36.3534,0.072543,-0.263407,0.82497,0.494751,0.28,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:58:57.132,FALSE,
285.77,-3438.88,-302.242,0.004,0.002,0,0.004,36.3051,0.265751,-0.21846,0.818209,0.460637,0.2,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:59:06.473,FALSE,
-344.54,-3427.448,-255.104,0.004,0.002,0.001,0.004,45.6762,0.355395,-0.750352,0.248313,0.499006,0.21,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:59:15.712,FALSE,
-419.116,-3313.914,-48.983,0.004,0.003,0.001,0.003,39.912,-0.137664,0.470163,-0.496377,-0.716663,0.22,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:59:23.532,FALSE,
-528.183,-3403.227,-118.159,0.008,0.006,0.001,0.005,43.5231,-0.08851,0.509627,-0.628367,-0.581034,0.3,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:59:30.812,FALSE,
-330.777,-3326.07,-157.757,0.009,0.006,0.001,0.006,41.926,-0.227179,0.600667,-0.654835,-0.398472,0.24,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:59:38.272,FALSE,
-1.175,-3183.595,47.071,0.006,0.004,0,0.004,12.2539,0.429435,-0.474682,0.614677,0.460907,0.19,TMC 30-B #5320,23.5,1015,38,'20.10.2022 16:59:46.472,FALSE,
