X  [mm],Y  [mm],Z  [mm],U(95)  [mm],U(95) X  [mm],U(95) Y  [mm],U(95) Z  [mm],Tilt  [deg],Q0 ,Q1 ,Q2 ,Q3 ,Image RMS  [µm],Target,Temperature  [°C],Pressure  [mBar],Humidity  [%],Time Stamp,OTG Applied,Delete
663.457,-3963.939,374.909,0.005,0.002,0.001,0.005,36.8966,0.855814,-0.514274,0.038855,-0.039932,0.28,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:23:24.953,FALSE,
660.536,-3961.492,372.248,0.001,0.001,0,0.001,36.8464,0.855816,-0.514279,0.03874,-0.039941,0.25,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:23:30.573,FALSE,
657.657,-3959.025,369.584,0.002,0.001,0,0.001,36.7989,0.855805,-0.514297,0.038716,-0.039968,0.29,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:23:36.173,FALSE,
654.794,-3956.56,366.892,0.003,0.002,0.001,0.002,36.7529,0.8558,-0.514303,0.038687,-0.040023,0.15,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:23:41.773,FALSE,
651.919,-3954.086,364.214,0.001,0.001,0,0.001,36.7049,0.85579,-0.51432,0.038644,-0.040062,0.17,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:23:47.393,FALSE,
649.037,-3951.611,361.507,0.002,0.001,0,0.002,36.6575,0.855783,-0.514331,0.038617,-0.040097,0.19,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:23:53.013,FALSE,
646.162,-3949.139,358.825,0.002,0.001,0,0.002,36.6109,0.85578,-0.514336,0.038582,-0.040131,0.24,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:23:58.613,FALSE,
643.285,-3946.663,356.125,0.006,0.003,0.001,0.005,36.5632,0.855776,-0.514344,0.03856,-0.040137,0.28,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:24:04.193,FALSE,
640.409,-3944.212,353.444,0.002,0.002,0,0.001,36.5178,0.855775,-0.514345,0.038568,-0.040147,0.17,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:24:09.813,FALSE,
637.513,-3941.76,350.771,0.005,0.004,0.001,0.002,36.4709,0.855769,-0.514354,0.038564,-0.04016,0.2,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:24:15.413,FALSE,
634.621,-3939.297,348.068,0.002,0.002,0.001,0.001,36.4225,0.855762,-0.514367,0.038588,-0.040116,0.26,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:24:20.993,FALSE,
631.732,-3936.835,345.38,0.004,0.001,0.001,0.004,36.3751,0.855761,-0.514371,0.038589,-0.040089,0.17,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:24:26.593,FALSE,
628.852,-3934.386,342.692,0.002,0.002,0.001,0.001,36.3295,0.855766,-0.514364,0.038639,-0.040016,0.32,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:24:32.173,FALSE,
625.985,-3931.936,340.016,0.003,0.002,0.001,0.002,36.2827,0.855763,-0.514369,0.038672,-0.039971,0.28,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:24:37.753,FALSE,
623.112,-3929.473,337.311,0.003,0.002,0.001,0.002,36.2345,0.855759,-0.514379,0.038704,-0.039909,0.33,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:24:43.333,FALSE,
620.245,-3927.003,334.616,0.005,0.004,0.001,0.002,36.1878,0.855763,-0.514375,0.038723,-0.039854,0.22,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:24:48.933,FALSE,
617.378,-3924.542,331.922,0.005,0.002,0.001,0.004,36.1394,0.855753,-0.514391,0.038732,-0.039849,0.25,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:24:54.493,FALSE,
614.516,-3922.083,329.226,0.003,0.002,0.001,0.001,36.0929,0.855756,-0.514388,0.038728,-0.039841,0.29,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:25:00.073,FALSE,
611.644,-3919.619,326.527,0.006,0.004,0.001,0.004,36.0457,0.855754,-0.514391,0.038728,-0.039838,0.27,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:25:05.693,FALSE,
608.765,-3917.157,323.857,0.005,0.002,0.001,0.005,35.9973,0.855746,-0.514404,0.038695,-0.039868,0.25,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:25:11.273,FALSE,
605.882,-3914.696,321.165,0.008,0.007,0.001,0.003,35.9494,0.855744,-0.514408,0.038661,-0.039895,0.27,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:25:16.853,FALSE,
603.004,-3912.236,318.508,0.005,0.004,0.001,0.004,35.9032,0.855746,-0.514405,0.038621,-0.039941,0.26,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:25:22.813,FALSE,
600.131,-3909.78,315.817,0.005,0.003,0.001,0.004,35.8564,0.855747,-0.514402,0.038612,-0.039947,0.3,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:25:28.033,FALSE,
597.278,-3907.348,313.139,0.006,0.006,0.001,0.002,35.8114,0.855748,-0.514398,0.038604,-0.04,0.24,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:25:33.633,FALSE,
594.42,-3904.912,310.445,0.009,0.006,0.001,0.006,35.7649,0.855741,-0.514406,0.038619,-0.040033,0.25,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:25:39.753,FALSE,
591.555,-3902.453,307.776,0.006,0.005,0.001,0.001,35.7165,0.855734,-0.514417,0.038598,-0.040053,0.19,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:25:44.833,FALSE,
588.679,-3899.988,305.081,0.021,0.007,0.002,0.019,35.6685,0.855737,-0.514415,0.038588,-0.04003,0.42,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:25:50.413,FALSE,
585.766,-3897.52,302.433,0.008,0.002,0.001,0.007,35.6187,0.855729,-0.514431,0.038575,-0.040008,0.2,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:25:56.093,FALSE,
582.896,-3895.05,299.722,0.007,0.006,0.001,0.004,35.5685,0.855722,-0.514446,0.038578,-0.039973,0.33,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:26:01.673,FALSE,
580.019,-3892.578,297.031,0.006,0.002,0.001,0.006,35.5191,0.855713,-0.514462,0.038597,-0.039943,0.18,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:26:08.093,FALSE,
577.142,-3890.13,294.363,0.005,0.003,0.001,0.003,35.4726,0.855714,-0.514459,0.038595,-0.039956,0.17,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:26:12.893,FALSE,
574.266,-3887.661,291.644,0.007,0.002,0.001,0.007,35.4215,0.855695,-0.51449,0.038636,-0.039919,0.3,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:26:18.493,FALSE,
571.378,-3885.207,288.96,0.005,0.003,0.001,0.005,35.3756,0.855703,-0.514476,0.038668,-0.039881,0.24,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:26:24.153,FALSE,
568.512,-3882.763,286.286,0.005,0.003,0.001,0.004,35.3308,0.855707,-0.514467,0.03869,-0.039905,0.19,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:26:29.773,FALSE,
565.661,-3880.317,283.583,0.006,0.003,0.001,0.005,35.2815,0.855691,-0.51449,0.038678,-0.039966,0.21,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:26:35.393,FALSE,
562.789,-3877.849,280.893,0.003,0.003,0.001,0.002,35.2351,0.855689,-0.514488,0.038659,-0.040033,0.38,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:26:41.033,FALSE,
559.94,-3875.382,278.195,0.002,0.002,0,0.001,35.1842,0.85567,-0.514519,0.038633,-0.040088,0.21,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:26:46.653,FALSE,
557.07,-3872.933,275.518,0.005,0.005,0.001,0.002,35.138,0.855667,-0.514519,0.038606,-0.040181,0.2,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:26:52.273,FALSE,
554.219,-3870.477,272.81,0.003,0.002,0.001,0.002,35.0903,0.85566,-0.514527,0.038636,-0.040191,0.21,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:26:57.914,FALSE,
551.35,-3868.01,270.121,0.004,0.002,0.001,0.004,35.0407,0.85565,-0.514544,0.038669,-0.040162,0.24,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:27:03.553,FALSE,
548.466,-3865.552,267.434,0.006,0.005,0.002,0.002,34.9933,0.855655,-0.514537,0.03873,-0.040077,0.23,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:27:09.213,FALSE,
545.591,-3863.096,264.762,0.009,0.008,0.003,0.001,34.9498,0.855669,-0.514511,0.038779,-0.040057,0.28,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:27:14.873,FALSE,
542.748,-3860.662,262.075,0.013,0.012,0.004,0.003,34.9036,0.855667,-0.514512,0.038855,-0.040028,0.24,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:27:20.514,FALSE,
539.895,-3858.211,259.396,0.011,0.009,0.004,0.004,34.8554,0.855664,-0.514517,0.038896,-0.039989,0.23,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:27:26.153,FALSE,
537.022,-3855.756,256.725,0.004,0.002,0,0.003,34.8092,0.855673,-0.514501,0.03888,-0.04001,0.21,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:27:32.853,FALSE,
534.137,-3853.291,254.038,0.01,0.009,0.003,0.003,34.7595,0.855673,-0.514503,0.038874,-0.03998,0.24,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:27:37.453,FALSE,
531.269,-3850.833,251.32,0.003,0.003,0.001,0.002,34.7114,0.855673,-0.514502,0.038843,-0.040041,0.2,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:27:43.933,FALSE,
528.382,-3848.368,248.655,0.004,0.001,0,0.004,34.6621,0.855677,-0.514498,0.038791,-0.040053,0.25,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:27:49.253,FALSE,
525.494,-3845.915,245.978,0.002,0.001,0,0.002,34.6135,0.855684,-0.514488,0.038733,-0.040082,0.26,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:27:54.773,FALSE,
522.59,-3843.451,243.306,0.003,0.003,0,0.001,34.5607,0.855679,-0.514503,0.038712,-0.040019,0.2,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:28:00.393,FALSE,
519.706,-3840.994,240.618,0.001,0.001,0.001,0.001,34.5109,0.855682,-0.514501,0.038702,-0.039987,0.28,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:28:05.973,FALSE,
516.842,-3838.546,237.91,0.004,0.003,0.001,0.003,34.459,0.855668,-0.514526,0.038746,-0.039931,0.25,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:28:11.573,FALSE,
513.974,-3836.087,235.219,0.005,0.003,0.001,0.005,34.4083,0.855655,-0.514546,0.038755,-0.03994,0.29,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:28:17.314,FALSE,
511.094,-3833.622,232.509,0.006,0.004,0.001,0.004,34.3545,0.855634,-0.514581,0.038739,-0.039954,0.29,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:28:22.873,FALSE,
