X  [mm],Y  [mm],Z  [mm],U(95)  [mm],U(95) X  [mm],U(95) Y  [mm],U(95) Z  [mm],Tilt  [deg],Q0 ,Q1 ,Q2 ,Q3 ,Image RMS  [µm],Target,Temperature  [°C],Pressure  [mBar],Humidity  [%],Time Stamp,OTG Applied,Delete
-316.206,-3350.48,-389.666,0.004,0.003,0,0.003,6.6255,0.06559,-0.062644,0.643268,0.76025,0.2,TMC 30-B #5320,22.2,1014,54,'16.11.2022 21:04:29.272,FALSE,
-301.173,-3358.283,-389.638,0.003,0.002,0,0.001,6.3877,0.065564,-0.062548,0.643284,0.760247,0.14,TMC 30-B #5320,22.2,1014,54,'16.11.2022 21:04:35.232,FALSE,
-285.973,-3365.7,-389.549,0.003,0.002,0,0.001,6.1567,0.065537,-0.062471,0.643256,0.760279,0.16,TMC 30-B #5320,22.2,1014,54,'16.11.2022 21:04:41.412,FALSE,
-270.604,-3372.837,-389.522,0.002,0.001,0,0.001,5.9276,0.065558,-0.06249,0.643261,0.760272,0.2,TMC 30-B #5320,22.2,1014,54,'16.11.2022 21:04:47.112,FALSE,
-255.152,-3379.644,-389.461,0.005,0.005,0.001,0.002,5.7077,0.065497,-0.062504,0.643255,0.76028,0.21,TMC 30-B #5320,22.2,1014,54,'16.11.2022 21:04:53.352,FALSE,
-239.503,-3386.086,-389.407,0.005,0.003,0.001,0.003,5.4843,0.065464,-0.062491,0.643267,0.760275,0.18,TMC 30-B #5320,22.2,1014,54,'16.11.2022 21:04:59.012,FALSE,
-223.758,-3392.203,-389.361,0.003,0.002,0.001,0.002,5.2632,0.065481,-0.062509,0.64328,0.760261,0.21,TMC 30-B #5320,22.2,1014,54,'16.11.2022 21:05:04.852,FALSE,
-207.856,-3397.961,-389.305,0.004,0.003,0.001,0.003,5.0393,0.065522,-0.062485,0.643313,0.760231,0.29,TMC 30-B #5320,22.2,1014,54,'16.11.2022 21:05:10.712,FALSE,
-191.864,-3403.357,-389.198,0.007,0.003,0.001,0.006,4.8415,0.065491,-0.062494,0.643204,0.760325,0.21,TMC 30-B #5320,22.2,1014,54,'16.11.2022 21:05:16.572,FALSE,
-175.78,-3408.455,-389.19,0.004,0.003,0.001,0.002,4.6425,0.06541,-0.06251,0.643187,0.760345,0.22,TMC 30-B #5320,22.2,1014,54,'16.11.2022 21:05:22.572,FALSE,
-159.551,-3413.193,-389.179,0.003,0.003,0.001,0.002,4.4374,0.065404,-0.06244,0.643193,0.760346,0.17,TMC 30-B #5320,22.3,1014,54,'16.11.2022 21:05:28.232,FALSE,
-143.159,-3417.561,-389.139,0.005,0.004,0.001,0.001,4.237,0.065425,-0.06235,0.6432,0.760346,0.15,TMC 30-B #5320,22.3,1014,54,'16.11.2022 21:05:34.072,FALSE,
-126.793,-3421.587,-389.093,0.009,0.007,0.001,0.005,4.0556,0.065457,-0.062373,0.643177,0.760361,0.21,TMC 30-B #5320,22.3,1014,54,'16.11.2022 21:05:40.132,FALSE,
-110.3,-3425.248,-389.025,0.007,0.007,0,0.003,3.8874,0.065546,-0.062433,0.643119,0.760397,0.16,TMC 30-B #5320,22.3,1014,54,'16.11.2022 21:05:45.832,FALSE,
-93.765,-3428.561,-388.994,0.005,0.003,0.001,0.004,3.7274,0.065552,-0.062455,0.643108,0.760404,0.13,TMC 30-B #5320,22.3,1014,54,'16.11.2022 21:05:51.712,FALSE,
-77.096,-3431.51,-388.968,0.005,0.004,0.001,0.003,3.5732,0.065524,-0.062326,0.643118,0.760409,0.19,TMC 30-B #5320,22.3,1014,54,'16.11.2022 21:05:57.632,FALSE,
